CGCMT16C1,695100651,32-001,20170101,20170630,AN,BOR,160OTHERIN,56224
CGCMT16C1,305990039,39-001,20170101,20170930,AN,ADJ,320PROPINS,2347
CGCMT16C1,695100651,32-000,20160101,20161231,AN,NOR,370MANAGEM,48674
CGCMT16C1,695100652,27-001,20160101,20161231,AN,BOR,360FRANCHI,297508
CGCMT16C1,304101587,28-001,20160101,20161231,AN,ADJ,320PROPINS,3869
CGCMT16C1,407000620,53-001,20170101,20171231,AN,NOR,400PROFESS,16410
CGCMT16C1,407004604,26-001,20160101,20161231,AN,NOR,410GENERAL,35299
CGCMT16C1,304101579,7-002,20170101,20170630,AN,BOR,380PAYROLL,50865
CGCMT16C1,305990010,10-001,20160101,20161231,AN,NOR,010GROSRNT,2758707
CGCMT16C1,695100653,42-001,20160101,20161231,AN,BOR,160OTHERIN,15611.82
CGCMT16C1,304101577,11-001,20160101,20161231,AN,BOR,340REPAIRS,14581
CGCMT16C1,695100647,19-001,20160101,20161231,AN,BOR,320PROPINS,59733
CGCMT16C1,695100647,19-001,20160101,20161231,AN,BOR,040EXPREMB,290674
CGCMT16C1,407000617,15-001,20170101,20170930,AN,NOR,310RETAXES,89297
CGCMT16C1,407000589,8-001,20160331,20160601,UB,NOR,360FRANCHI,623266
CGCMT16C1,304101576,4-001,20160201,20160601,UB,NOR,370MANAGEM,396812
CGCMT16C1,304101588,37-001,20170101,20171231,AN,NOR,390MARKETI,14648
CGCMT16C1,407000613,34-001,20160423,20160601,UB,NOR,410GENERAL,38399
CGCMT16C1,304101576,4-001,20160101,20161231,AN,NOR,310RETAXES,1372922
CGCMT16C1,407000614,44-002,20160101,20161231,AN,NOR,390MARKETI,199
CGCMT16C1,407000608,16-002,20160316,20160601,UB,NOR,510CAPEX,17717
CGCMT16C1,304101579,7-005,20160101,20161231,AN,NOR,330UTILITI,8269
CGCMT16C1,304101581,25-000,20160101,20161231,AN,BOR,340REPAIRS,20542
CGCMT16C1,304101538,46-001,20170101,20171231,AN,ADJ,510CAPEX,6675
CGCMT16C1,305990005,5-001,20161001,20170930,AN,NOR,300OTHDEPT,1977464
CGCMT16C1,305990023,23-001,20160101,20161231,AN,NOR,150PARKING,15750
CGCMT16C1,304101579,7-003,20160101,20161231,AN,BOR,330UTILITI,8389
CGCMT16C1,305990005,5-001,20161001,20170930,AN,ADJ,440OTHEREX,2404
CGCMT16C1,304101556,21-001,20160101,20161231,AN,BOR,410GENERAL,84723
CGCMT16C1,407004612,40-001,20160101,20161231,AN,ADJ,320PROPINS,-2709
CGCMT16C1,305990020,20-001,20170101,20170930,AN,BOR,040EXPREMB,1219254
CGCMT16C1,304101579,7-005,20170101,20170630,AN,NOR,320PROPINS,2205
CGCMT16C1,407000614,44-002,20170101,20170930,AN,BOR,330UTILITI,66876
CGCMT16C1,695100657,18-001,20160101,20161231,AN,NOR,320PROPINS,16267
CGCMT16C1,304101538,46-001,20160101,20161231,AN,ADJ,310RETAXES,59543
CGCMT16C1,407000589,8-001,20170101,20170930,AN,NOR,320PROPINS,64912
CGCMT16C1,304101581,25-002,20160101,20161231,AN,ADJ,370MANAGEM,14479
CGCMT16C1,407000617,15-001,20170101,20170930,AN,NOR,320PROPINS,40587
CGCMT16C1,304101557,36-001,20160101,20161231,AN,ADJ,440OTHEREX,-115441
CGCMT16C1,305990020,20-001,20170101,20170930,AN,NOR,160OTHERIN,7472
CGCMT16C1,305990005,5-001,20160101,20161231,AN,NOR,370MANAGEM,656255
CGCMT16C1,304101552,14-000,20160101,20161231,AN,NOR,500TENANTI,43473
CGCMT16C1,695100655,22-001,20161001,20170930,AN,ADJ,290PHONE,5296
CGCMT16C1,304101577,11-001,20160101,20161231,AN,NOR,410GENERAL,16607
CGCMT16C1,305990005,5-001,20161001,20170930,AN,BOR,340REPAIRS,536550
CGCMT16C1,304101579,7-002,20170101,20170630,AN,NOR,410GENERAL,11860
CGCMT16C1,695100651,32-001,20160101,20161231,AN,NOR,330UTILITI,78184
CGCMT16C1,304101579,7-002,20170101,20170630,AN,NOR,510CAPEX,3819
CGCMT16C1,695100652,27-001,20170101,20170930,AN,BOR,270ROOMS,179035
CGCMT16C1,305990039,39-001,20160101,20161231,AN,NOR,040EXPREMB,183283
CGCMT16C1,304101581,25-001,20160101,20161231,AN,NOR,440OTHEREX,12669
CGCMT16C1,304101579,7-003,20160101,20161231,AN,BOR,380PAYROLL,30106
CGCMT16C1,304101578,50-001,20170101,20170930,AN,NOR,310RETAXES,81646
CGCMT16C1,695100650,51-001,20160328,20160601,UB,NOR,020VACANCY,-30073
CGCMT16C1,304101588,37-001,20160101,20161231,AN,ADJ,310RETAXES,26344
CGCMT16C1,305990054,54-001,20160228,20160601,UB,NOR,020VACANCY,-30499
CGCMT16C1,407000614,44-001,20160101,20161231,AN,BOR,320PROPINS,12389
CGCMT16C1,305990020,20-001,20151201,20160601,UB,NOR,310RETAXES,1132350
CGCMT16C1,304101557,36-000,20160101,20161231,AN,BOR,320PROPINS,6843
CGCMT16C1,304101575,6-001,20170101,20170930,AN,NOR,380PAYROLL,152269
CGCMT16C1,304101552,14-000,20160101,20161231,AN,NOR,030BASERNT,1351189
CGCMT16C1,695100653,42-001,20170101,20171231,AN,BOR,410GENERAL,6123
CGCMT16C1,304101554,45-001,20170101,20170930,AN,NOR,310RETAXES,42423
CGCMT16C1,304101578,50-001,20170101,20170930,AN,NOR,330UTILITI,21915
CGCMT16C1,407000614,44-001,20170101,20170930,AN,BOR,030BASERNT,344240
CGCMT16C1,407004604,26-001,20160101,20161231,AN,NOR,030BASERNT,919283
CGCMT16C1,305990052,52-001,20160101,20161231,AN,NOR,030BASERNT,448114.92
CGCMT16C1,305990005,5-001,20160101,20161231,AN,NOR,300OTHDEPT,1976085
CGCMT16C1,695100651,32-001,20170101,20170630,AN,BOR,340REPAIRS,55887
CGCMT16C1,695100655,22-001,20161001,20170930,AN,ADJ,270ROOMS,813430
CGCMT16C1,305990052,52-001,20170101,20171231,AN,NOR,150PARKING,6235
CGCMT16C1,407000620,53-001,20151217,20160601,UB,NOR,160OTHERIN,11747
CGCMT16C1,304101579,7-002,20160101,20161231,AN,BOR,160OTHERIN,26450
CGCMT16C1,695100647,19-001,20160101,20161231,AN,NOR,370MANAGEM,69431
CGCMT16C1,407000614,44-000,20160101,20161231,AN,BOR,390MARKETI,199
CGCMT16C1,304101576,4-001,20160201,20160601,UB,NOR,040EXPREMB,4018140
CGCMT16C1,305990039,39-001,20170101,20170930,AN,BOR,390MARKETI,1433
CGCMT16C1,304101579,7-004,20160101,20161231,AN,ADJ,040EXPREMB,3357
CGCMT16C1,695100651,32-000,20170101,20170630,AN,NOR,390MARKETI,4282
